BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-18 09:45:54
Total records: 17664

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)
NOR2013002PSP	11781	2013	N	L	36	14	18.7	12.1	78.8453
SR1022PSP	8999	2005	N	L	73	170	6.4	9.8	N/A
CE7007PSP	8885	1994	N	L	31	46	9.5	10.35	24.4334
SR0209PSP	8969	1998	N	L	16	60	68.4	32.5	N/A
LWP1999024PSP	3132	1999	N	L	123	70	5.3	6.21	4.7731
SR4423PSP	9140	1999	N	L	63	123	30.3	15.1	N/A
SR5023PSP	9160	1996	N	L	76	5	7.4	4.82	N/A
LWP1994013PSP	2922	1994	N	L	137	22	26.5	10	92.0322
FCTEM2001093PGP	5802	2014	N	L	204	12	23.2	14.8	118.7517
CE0015PSP	8661	1994	N	L	22	30	2.5	3.66	N/A
SR5023PSP	9160	1996	N	L	55	5	31.7	13.1	N/A
CE3002PSP	8761	1998	N	L	11	1	45.2	29.7	N/A
COC1994017PSP	3280	2017	N	L	256	903	11.0	8	N/A
FCBOW12-2003-011PGP	5120	2008	N	L	102	25	2.8	4.16	0.7768
ARGS168PGP	11958	1982	N	L	5	56	11.2	14.33	N/A
CE1010PSP	8717	1993	N	L	56	1	4.5	4.43	N/A
ARGS025PGP	11816	1982	N	L	2	75	29.2	24.08	N/A
SR0201PSP	8961	1997	N	L	64	42	30.4	19.9	N/A
SR5023PSP	9160	1996	N	L	65	5	9.2	6.71	N/A
SR0208PSP	8968	1998	N	L	43	111	10.4	13.5	N/A
SR5404PSP	9181	1998	N	L	49	55	28.1	21.9	N/A
ACH_CPGP	12061	1984	N	L	41	12	33.5	28.2	306.1240
SR4002PSP	9087	1993	N	L	46	46	23.6	19	175.4528
SR1005PSP	8989	2013	N	L	17	44	12.4	12.7	48.1963
HEM_DICK615PGP	12149	1992	N	L	3	19	15.7	9	43.6962
SR5211PSP	9171	1994	N	L	24	56	10.7	12	N/A
SR4424PSP	9141	1995	N	L	130	123	18.1	15.5	N/A
SR4219PSP	9117	1994	N	L	78	51	12.1	14.6	22.8805
SR1013PSP	8991	1995	N	L	110	90	8.0	11.5	N/A
SR2203PSP	9042	2009	N	L	14	50	26.5	14.5	189.1340
NOR2016001PSP	11788	2016	N	L	3	70	27.6	27.7	227.9652
CE1017PSP	8722	2022	N	L	72	2	50.8	19.6	840.7651
SR0406PSP	8983	1993	N	L	29	86	22.6	19.5	N/A
FECGY920PGP	12843	2001	N	L	21	32	35.1	19.9	426.0633
SR1216PSP	9015	2010	N	L	42	40	26.3	22.5	156.8273
BY_T1CTPGP	3510	2006	N	L	18	58	16.4	12.6	85.2601
CHT2002039PGP	7069	2002	N	L	206	22	7.4	4.62	5.4753
SR1001PSP	8985	1992	N	L	86	44	4.8	6.07	5.4397
FCTEM2003027PGP	5983	2013	N	L	823	20	25.7	19.9	130.5000
FCWEY4S2002017PGP	6444	2007	N	L	1	74	12.6	13.2	32.0017
CE4121PSP	8841	2006	N	L	25	37	44.5	21.2	693.9926
KAP1992001PSP	3363	2002	N	L	24	20	17.0	12.91	48.3404
SR1004PSP	8988	1998	N	L	5	78	24.9	24	N/A
CE1035PSP	8740	1994	N	L	2	37	10.6	14.09	31.4405
CE4134PSP	8854	1995	N	L	41	38	34.8	21.04	427.5736
SR5023PSP	9160	1999	N	L	47	5	26.3	14.4	N/A
ARGS111PGP	11901	1977	N	L	18	44	26.4	24.38	273.7620
SR5023PSP	9160	1996	N	L	3	5	28.9	14.1	N/A
HEM_BRUT497PGP	12093	1991	N	L	9	139	12.7	12	N/A
SR1216PSP	9015	2000	N	L	41	40	35.0	23.9	305.5187
HEM_PECK614PGP	12246	1991	N	L	31	14	6.9	5	8.1086
SR5416PSP	9193	1995	N	L	30	169	34.6	25.3	N/A
SR4417PSP	9137	1994	N	L	42	123	19.5	21.1	N/A
SR0206PSP	8966	1993	N	L	54	78	5.5	6.32	N/A
FCTEM2004070PGP	6106	2004	N	L	990	1	5.1	4.41	N/A
SR5023PSP	9160	1996	N	L	58	5	18.0	9.25	N/A
FCTEM2003049PGP	6020	2008	N	L	647	38	27.7	26.51	241.5486
FCWEY4S2001001PGP	6279	2001	N	L	23	20	13.6	9.36	28.2771
SR1008PSP	8990	2010	N	L	41	44	6.1	9.6	9.4370
SR2231PSP	9062	1995	N	L	86	47	32.4	24.1	310.2646
FCWEY4S2001059PGP	6340	2014	N	L	417	3	33.8	24.9	380.9997
HEM_CLYD204PGP	12124	1991	N	L	16	14	47.8	7	670.8773
1253146PIP	6710	2012	N	L	1	32	3.2	4.7	1.5506
SR1021PSP	8998	1995	N	L	86	32	28.5	18.9	261.4317
ACH_CPGP	12061	1995	N	L	5	2	33.0	26.77	292.6331
SR4411PSP	9132	1994	N	L	20	51	3.1	4.44	0.8590
ARGS177PGP	11967	1977	N	L	14	30	61.7	21.95	N/A
SR1202PSP	9003	2008	N	L	64	90	5.5	10.1	N/A
SR2232PSP	9063	2011	N	L	133	56	8.0	11.7	N/A
SR1001PSP	8985	2007	N	L	5	41	65.4	30.7	1474.2884
CE0068PSP	8701	1994	N	L	54	1	32.8	24.4	N/A
ARGS059PGP	11850	1977	N	L	7	19	35.0	16.46	294.9953
1184296PIP	6591	2012	N	L	412	25	14.2	12.2	41.3148
SR4008PSP	9093	1995	N	L	21	50	28.8	19.2	234.4458
CE0060PSP	8693	1994	N	L	13	32	46.2	20.21	811.5036
SR0216PSP	8976	2000	N	L	14	42	44.8	26.1	N/A
HEM_CLYD477PGP	12133	1991	N	L	61	19	3.8	6	1.4887
SR1201PSP	9002	2012	N	L	22	90	31.7	20	N/A
NBBY043PGP	12421	2003	N	L	96	170	15.3	13.7	N/A
FCWEY4S2002009PGP	6432	2012	N	L	167	3	14.7	10.6	51.4759
CHA1995002PSP	3238	2015	N	L	186	13	5.0	5.2	2.7303
NOR2013002PSP	11781	2013	N	L	40	14	26.4	17	173.1584
FCTEM2002095PGP	5920	2015	N	L	620	73	6.0	7.8	4.1333
SR1202PSP	9003	2013	N	L	12	124	5.0	6.9	N/A
SR5023PSP	9160	1996	N	L	30	5	9.4	8.19	N/A
CE0034PSP	8680	2003	N	L	1	30	26.3	22.74	N/A
SR5408PSP	9185	1995	N	L	88	55	8.8	12	N/A
CE0068PSP	8701	1994	N	L	62	20	4.7	4.67	2.2009
HEM_PENT073PGP	12249	1991	N	L	12	30	11.5	15	N/A
HEM_DICK862PGP	12157	1990	N	L	27	1001	12.8	8	N/A
SR4008PSP	9093	1995	N	L	42	123	9.2	18.7	N/A
FCBOW4-2002-11PGP	5004	2007	N	L	94	3	5.6	6.28	5.0580
SR0204PSP	8964	1993	N	L	7	33	12.7	14.8	48.3308
NP1996007PSP	2975	2011	N	L	265	903	7.9	7.95	N/A
SR1401PSP	9018	2007	N	L	61	42	3.4	6.4	N/A
FCBOW4-185-1PGP	4761	2014	N	L	476	25	33.5	17	337.6192
LD1203PGP	10727	2008	N	L	76	44	28.3	20.7	321.1817
SR2230PSP	9061	1995	N	L	56	117	3.2	5.45	N/A
LD1205PGP	10729	2016	N	L	134	1001	11.8	11.9	N/A
SR4005PSP	9090	1994	N	L	22	94	16.5	15	N/A
THU2010001PGP	7684	2010	N	L	64	45	21.2	15.69	122.8246
CE7026PSP	8904	1999	N	L	36	70	14.6	19.1	51.2740
SR5210PSP	9170	1995	N	L	11	30	16.5	21.5	N/A
FCTEM2002067PGP	5894	2002	N	L	929	20	6.2	5.24	4.2821
SR4008PSP	9093	1995	N	L	31	94	5.7	9.52	N/A
BP1993016PSP	3190	1993	N	L	21	25	21.9	18.55	119.2936
SR1206PSP	9007	2000	N	L	25	40	38.6	24.5	383.9339
SR5021PSP	9159	1995	N	L	63	50	7.3	8.38	6.7912
SR0204PSP	8964	1993	N	L	77	124	33.0	20	N/A
SR0208PSP	8968	1998	N	L	3	111	6.2	11.2	N/A
SR0207PSP	8967	1993	N	L	86	50	25.0	20	162.7311
SR0401PSP	8978	1997	N	L	11	75	21.5	20.9	N/A
LD2902PGP	10650	2011	N	L	206	72	3.4	7.1	N/A
SR0022PSP	8960	2000	N	L	30	123	33.6	32.4	N/A
SR1401PSP	9018	1992	N	L	12	56	11.1	15.24	N/A
ACH_CPGP	12061	1984	N	L	39	2	26.4	25.1	169.5247
SR4427PSP	9143	1999	N	L	96	94	31.0	20.1	N/A
CHT2002032PGP	7062	2010	N	L	139	22	10.4	8.1	11.6240
SR4011PSP	9096	1995	N	L	47	55	14.4	19.1	N/A
SR0212PSP	8972	1994	N	L	55	60	6.9	9.88	N/A
FCDOM200509PGP	5624	2005	N	L	315	73	15.9	13	45.1312
SR2236PSP	9064	1995	N	L	55	44	4.0	6.5	3.5774
SR1022PSP	8999	2010	N	L	24	124	17.0	17.3	N/A
SR3009PSP	9073	2008	N	L	21	55	22.2	19.7	N/A
SR1021PSP	8998	2006	N	L	79	124	39.4	24.5	N/A
HEM_LAWR227PGP	12200	1991	N	L	15	1001	8.5	7	N/A
SR5023PSP	9160	1996	N	L	17	5	26.5	8.98	N/A
SR5002PSP	9145	1998	N	L	36	123	30.0	22	N/A
SR5207PSP	9167	1994	N	L	5	46	14.1	20.5	57.4817
FCDOM200436PGP	5587	2009	N	L	302	3	26.1	20.95	204.6452
FCTEM_KAP2000036PGP	5718	2000	N	L	28	73	2.5	3.69	0.4827
CE4121PSP	8841	2021	N	L	26	37	44.1	26.8	680.6075
SR1207PSP	9008	2008	N	L	35	90	32.6	30.4	N/A
SR1208PSP	9009	2000	N	L	26	78	31.1	29.5	N/A
SR0204PSP	8964	1998	N	L	30	39	36.2	22.5	N/A
SR5022PSP	9196	1996	N	L	52	19	6.9	6.32	6.1647
SR1401PSP	9018	2012	N	L	61	42	3.7	6.1	N/A
CE1011PSP	8718	1993	N	L	109	38	2.7	4.49	0.7122
SR0205PSP	8965	1998	N	L	48	124	32.1	25.5	N/A
SR5003PSP	9146	1992	N	L	49	123	13.2	17.5	N/A
ARGS131PGP	11921	1982	N	L	19	56	27.9	22.25	N/A
SR5023PSP	9160	1996	N	L	14	5	11.2	7.51	N/A
SR4426PSP	9142	1995	N	L	53	47	2.5	5.32	1.1597
CE1005PSP	8712	1998	N	L	4	14	3.6	3.8	1.8380
SR0209PSP	8969	1994	N	L	29	60	23.1	23.5	N/A
FCTEM_KAP2000043PGP	5725	2011	N	L	198	73	10.5	11.41	16.3097
SR4206PSP	9104	1993	N	L	29	41	20.9	18	125.2154
SR5208PSP	9168	1998	N	L	26	22	4.2	4.9	1.5641
SR0007PSP	8947	1993	N	L	7	123	35.6	35.4	N/A
GCF1994006PGP	7622	1994	N	L	15	38	29.9	18.3	292.4620
BP1993015PSP	3189	1993	N	L	39	13	9.2	7.42	12.6519
SR0404PSP	8981	1993	N	L	2	124	20.1	21.6	N/A
SR0204PSP	8964	1993	N	L	11	33	11.6	11.83	39.9575
SR5023PSP	9160	1999	N	L	31	5	5.5	8	N/A
SR4012PSP	9097	1995	N	L	260	170	5.2	6.65	N/A
HEM_DICK300PGP	12144	1991	N	L	9	19	27.0	17	158.9799
KLK1994013PSP	3403	2006	N	L	28	73	3.6	4.62	1.1807
FCDOM200304PGP	5538	2003	N	L	277	74	5.6	7.34	4.3005
SR1021PSP	8998	2010	N	L	112	94	5.7	9.6	N/A
SR1017PSP	8994	2009	N	L	25	123	19.2	21.3	N/A
FCBOW3-15A-0PGP	4718	2005	N	L	231	74	31.0	22.28	297.0815
SR0205PSP	8965	1993	N	L	10	50	6.1	8.05	4.2726
BY_TCPGP	3512	2006	N	L	152	37	12.0	14.3	41.0859
WWA1999008PSP	3147	1999	N	L	329	37	52.9	17.9	1007.6940
SR1216PSP	9015	2006	N	L	7	32	27.1	21.7	232.3081
HEM_DICK300PGP	12144	1991	N	L	11	19	16.1	13.5	46.3949
SR5001PSP	9144	1992	N	L	19	123	15.2	18.5	N/A
ARGS003PGP	11794	1977	N	L	15	51	21.3	17.37	89.4122
SR0406PSP	8983	1993	N	L	38	86	29.4	23.5	N/A
FCBOW56-2005-12PGP	5163	2005	N	L	45	45	37.6	15.99	471.9146
LD0904PGP	10713	2007	N	L	169	58	2.8	5.2	2.7604
GCF1994010PGP	7626	2019	N	L	244	903	10.5	8.8	N/A
1170511PIP	10344	2016	N	L	9	13	8.1	6.3	9.1851
FCWEY4S2001040PGP	6369	2013	N	L	832	3	19.9	14	106.6176
FOR2011001PSP	6883	2011	N	L	73	25	25.2	19.6	168.1930
SR0401PSP	8978	1992	N	L	22	1	3.5	3.5	N/A
FCDOM200347PGP	5511	2003	N	L	157	32	13.6	14.63	46.1275
CE3017PSP	8776	2004	N	L	110	139	3.8	7.7	N/A
GGM1994002PSP	3302	1994	N	L	26	3	14.5	18.55	49.8082
CE3004PSP	8763	1993	N	L	41	2	16.8	16.8	56.1046
SR5211PSP	9171	1994	N	L	74	56	38.6	18.84	N/A
FCACI_TB200004PGP	4269	2000	N	L	640	38	2.9	4.53	0.8516
SR0205PSP	8965	1998	N	L	34	60	8.8	12.8	N/A
SR2230PSP	9061	1995	N	L	52	22	26.1	16.1	88.9873
MAN1994007PSP	2935	2001	N	L	94	74	9.8	16.35	17.1807
CE0060PSP	8693	1994	N	L	35	37	49.5	21.19	873.1746
SR5408PSP	9185	1995	N	L	310	55	9.5	13.6	N/A
SR0206PSP	8966	1998	N	L	54	78	6.0	6.8	N/A
SR0208PSP	8968	1993	N	L	43	111	10.3	11.8	N/A
SR1201PSP	9002	1992	N	L	37	123	17.5	19.51	N/A
SR0201PSP	8961	1992	N	L	121	47	12.5	14.23	38.8423
BP1993031PSP	3205	1993	N	L	799	20	11.3	8.95	18.1171
1211956PIP	6714	2012	N	L	6	13	11.5	10.4	22.1746
1280666PIP	6759	2012	N	L	72	41	3.3	5.7	2.3166
1287331PIP	212	2011	N	L	7	45	7.7	8.8	11.3775
SR5404PSP	9181	1998	N	L	17	170	8.3	11.7	N/A
IFF1993009PSP	3361	2018	N	L	201	139	8.4	12	N/A
SR0205PSP	8965	1993	N	L	38	78	3.9	6.55	N/A
SR1201PSP	9002	2007	N	L	17	46	25.6	21.4	209.2658
1232416PIP	6943	2015	N	L	24	73	19.5	14	74.4554
FECGY864PGP	12840	2011	N	L	80	39	5.5	8.27	N/A
CHT2005003PGP	7073	2005	N	L	22	73	37.5	19.7	370.2640
CE1017PSP	8722	2004	N	L	5	1	9.9	6.95	N/A
1191036PIP	10484	2017	N	L	22	3	23.3	19.4	155.7817
SR1017PSP	8994	2009	N	L	4	170	28.4	26.2	N/A
LSJP1993031PSP	3464	1993	N	L	778	3	5.7	5.42	5.2778
SR1209PSP	9010	2009	N	L	19	94	26.2	21.6	N/A
SR1202PSP	9003	1993	N	L	53	124	3.3	5.56	N/A
KAP2005002PGP	7604	2022	N	L	32	25	8.7	8.5	12.4553
ARGS085PGP	11876	1977	N	L	21	44	15.5	15.54	80.4954
LSJP1993002PSP	3438	2004	N	L	33	3	11.5	8.55	28.5286
SR1001PSP	8985	2012	N	L	93	1196	7.4	11.6	N/A
SR3025PSP	9085	1995	N	L	16	47	3.2	6.39	1.9873
SR4406PSP	9127	1993	N	L	17	123	5.7	9.62	N/A
MCR2005003PSP	7404	2005	N	L	86	25	4.8	5.29	2.9055
SR0208PSP	8968	1993	N	L	11	123	7.0	9.99	N/A
COC2019002PSP	10594	2019	N	L	19	73	19.2	16.2	71.6770
1197961PIP	10361	2016	N	L	5	73	2.6	4.2	0.5314
SR1201PSP	9002	2012	N	L	21	90	31.6	21.2	N/A
SR4413PSP	9134	1999	N	L	12	123	4.9	8.4	N/A
HEM_DICK862PGP	12157	1990	N	L	18	1001	13.6	8.5	N/A
TIM1999003PSP	3143	1999	N	L	43	20	6.3	5.51	4.4500
SR4012PSP	9097	1995	N	L	100	55	11.1	8.02	N/A
SR0207PSP	8967	1993	N	L	107	54	28.0	15.5	N/A
SR5024PSP	9161	1997	N	L	29	58	34.6	22.9	363.0370
FCDOM200339PGP	5503	2013	N	L	136	74	18.5	17.6	82.7952
SR1203PSP	9004	2008	N	L	3	124	28.1	26.7	N/A
SR0208PSP	8968	1993	N	L	39	111	8.6	9.6	N/A
FCWEY4S2002024PGP	6394	2007	N	L	46	3	4.0	5.5	2.2525
FCBOW12-2002-13PGP	4982	2002	N	L	73	3	7.2	4.71	9.2548
SR1001PSP	8985	2012	N	L	128	1196	4.4	9.5	N/A
SR5014PSP	9156	1994	N	L	63	33	34.3	22.8	389.3622
CE1013PSP	8719	2000	N	L	62	70	18.6	25.15	90.4248
SR1001PSP	8985	1998	N	L	21	56	6.5	10.2	N/A
BR0554PGP	7243	2015	N	L	113	903	8.7	14.87	N/A
FCDOM200239PGP	5466	2012	N	L	180	70	9.7	10.3	19.6709
SR0201PSP	8961	1992	N	L	38	39	55.9	31.2	N/A
1273661PIP	34	2017	N	L	126	1092	11.0	10.2	N/A
SR0210PSP	8970	1998	N	L	29	47	3.4	6.2	2.2683
SR1001PSP	8985	2007	N	L	128	1196	4.0	8.2	N/A
SR1017PSP	8994	2009	N	L	53	123	26.8	24.6	N/A
SR5404PSP	9181	2012	N	L	101	46	27.2	21.8	238.6382
ARGS058PGP	11849	1977	N	L	7	75	25.9	19.81	N/A
SR5415PSP	9192	1995	N	L	36	94	10.7	13.9	N/A
SR1213PSP	9014	2009	N	L	36	46	4.9	7.1	5.8218
SR5209PSP	9169	1995	N	L	2	30	26.3	25.4	N/A
SR4218PSP	9116	1994	N	L	28	41	16.1	17	71.2368
SR2209PSP	9048	1995	N	L	36	55	18.4	16	N/A
SR1023PSP	9000	2005	N	L	16	51	9.4	11.9	12.4500
SR5408PSP	9185	2012	N	L	187	55	32.6	22.6	N/A
SR5417PSP	9194	1995	N	L	49	111	28.0	18.6	N/A
WWA1999009PSP	3148	1999	N	L	309	22	21.2	9.97	56.1779
SR5417PSP	9194	1999	N	L	26	170	19.4	20.2	N/A
1273661PIP	34	2008	N	L	126	1092	9.6	8.6	N/A
SR1015PSP	8992	2009	N	L	80	88	16.2	17.3	N/A
SR0205PSP	8965	1993	N	L	78	124	3.2	5.43	N/A
SR0001PSP	8941	1997	N	L	12	94	3.8	4.9	N/A
CE6102PSP	8873	2021	N	L	35	41	36.8	26.6	425.3694
NBBW101PGP	12369	2003	N	L	19	38	30.5	18.5	307.3714
CHA1999004PSP	3124	2006	N	L	120	32	17.4	16.68	82.2011
SR0401PSP	8978	1992	N	L	27	75	36.3	21.8	N/A
SR5417PSP	9194	1995	N	L	69	33	20.5	21.6	132.1050
SR0206PSP	8966	1993	N	L	64	55	34.1	25	N/A
SR0209PSP	8969	1998	N	L	19	60	19.1	23.2	N/A
SR5408PSP	9185	1995	N	L	155	58	11.1	13.2	39.9736
COC1994003PSP	3266	2018	N	L	24	25	13.2	9.5	34.5529
SR5416PSP	9193	1998	N	L	8	47	42.2	20.5	552.2305
SR0208PSP	8968	1993	N	L	16	68	14.7	13.3	N/A
SR5023PSP	9160	1999	N	L	14	5	12.0	7.8	N/A
ACH_EPGP	12063	1952	N	L	47	1	16.0	20.1	N/A
SR0407PSP	8984	1997	N	L	7	60	31.6	25.1	N/A
FCTEM2001118PGP	5952	2001	N	L	74	12	7.0	5.18	5.4117
SR0216PSP	8976	2000	N	L	45	56	6.7	10.1	N/A
NP1995014PSP	2961	2011	N	L	131	1091	8.8	8.55	N/A
ARGS226PGP	12016	1977	N	L	15	37	17.0	16.46	87.0888
HEM_LAWR130PGP	12194	1991	N	L	23	14	9.4	7	16.4169
SR5013PSP	9155	1994	N	L	59	44	5.4	7.9	7.1311
FCABI200303PGP	4461	2022	N	L	144	1091	7.5	7.9	N/A
SR5406PSP	9183	1993	N	L	19	33	45.5	24	704.7905
CE3015PSP	8774	1993	N	L	39	37	18.7	15.3	106.9651
CE0067PSP	8700	1994	N	L	1	2	14.3	15.17	37.8276
SR0205PSP	8965	1993	N	L	30	60	19.6	13.5	N/A
SR4222PSP	9119	1995	N	L	32	1	57.5	29.4	N/A
SR4204PSP	9102	1993	N	L	29	55	4.5	5.63	N/A
FCTEM2003046PGP	6017	2013	N	L	325	38	11.6	12.1	27.3506
FCABI200605PGP	4658	2011	N	L	1	45	39.4	22.19	526.7079
FCACI_TB200409PGP	4545	2014	N	L	882	74	45.5	25.7	767.9511
ACH_HPGP	12066	1958	N	L	5	2	30.5	20.1	241.3341
SR0204PSP	8964	1993	N	L	64	124	8.3	11.9	N/A
HEM_DICK862PGP	12157	1990	N	L	12	1001	10.0	9	N/A
SR0206PSP	8966	1993	N	L	20	50	39.9	22	543.7215
SR0208PSP	8968	1998	N	L	34	68	6.6	9.7	N/A
1143071PIP	10437	2017	N	L	98	13	18.8	12	76.3208
FCDOM200322PGP	5556	2008	N	L	338	74	29.8	22	269.4267
SR0015PSP	8955	1999	N	L	43	58	41.9	27.2	526.3666
CHA1995027PSP	3263	1995	N	L	52	20	8.6	8.25	9.4003
NP1993007PSP	2950	1993	N	L	46	74	19.2	19.93	90.7666
SR1022PSP	8999	2005	N	L	106	170	3.8	6.1	N/A
HEM_FRES817PGP	12183	1991	N	L	15	1001	9.7	10	N/A
CE7018PSP	8896	1994	N	L	68	70	6.3	9.2	7.1561
HEM_MCLA147PGP	12211	1991	N	L	11	37	49.5	16	873.1746
CE0006PSP	8652	2020	N	L	136	139	12.9	13.4	N/A
NOR2013002PSP	11781	2013	N	L	12	14	14.9	16.4	46.9573
CE4000PSP	8794	1998	N	L	14	56	4.6	5.3	N/A
SR1209PSP	9010	2000	N	L	8	94	41.6	27.2	N/A
SR0205PSP	8965	1993	N	L	32	60	4.6	8.5	N/A
CE4112PSP	8832	2016	N	L	59	42	6.1	6.4	N/A
1184261PIP	10357	2016	N	L	2	13	30.3	27	253.4558
SR0209PSP	8969	1994	N	L	28	60	39.2	26.5	N/A
SR0404PSP	8981	1998	N	L	1	60	45.5	30.8	N/A
SR5404PSP	9181	1998	N	L	68	177	4.1	6.45	N/A
FCTEM2001096PGP	5805	2001	N	L	117	73	46.8	21.3	637.5529
CE1035PSP	8740	2010	N	L	44	22	21.8	14.8	59.7554
SR1201PSP	9002	1992	N	L	88	124	6.8	8.92	N/A
FCNEE_KC2002189PGP	5262	2013	N	L	116	20	27.6	19.8	154.8980
SR5414PSP	9191	1995	N	L	181	22	9.2	7.95	8.8628
SR5023PSP	9160	1999	N	L	22	5	20.8	8.8	N/A
SR1015PSP	8992	1994	N	L	32	88	18.6	16.9	N/A
COC2019001PSP	10593	2019	N	L	128	12	6.1	4.5	3.7956
SR5416PSP	9193	1995	N	L	6	47	34.4	27.5	353.5784
CE1033PSP	8738	1994	N	L	65	2	38.1	23.26	415.9222
CE0009PSP	8655	1999	N	L	1	30	7.5	10.25	N/A
CE3028PSP	8787	1999	N	L	28	45	9.4	11.8	18.1788
SR0208PSP	8968	1993	N	L	28	68	4.0	6.4	N/A
FCTEM2002012PGP	5839	2007	N	L	685	13	27.2	17.64	193.2096
BR0557PGP	7246	2015	N	L	89	1091	9.1	11.4	N/A
CE1002PSP	8709	1993	N	L	47	22	30.9	17.84	129.2751
SR0201PSP	8961	1992	N	L	54	33	10.4	12.7	31.7692
SR5007PSP	9150	1999	N	L	59	169	29.2	16	N/A
SR1213PSP	9014	2005	N	L	25	90	4.1	5.4	N/A
CE1004PSP	8711	1993	N	L	33	1	4.7	3.73	N/A
SR0402PSP	8979	1993	N	L	35	32	32.2	26.5	348.0634
SR1216PSP	9015	2006	N	L	51	40	21.4	18.1	96.9339
COC1994013PSP	3276	2016	N	L	195	25	28.5	19.2	227.3070
CE7011PSP	8889	1994	N	L	18	41	3.0	5.43	1.8853
SR5407PSP	9184	1995	N	L	34	94	14.6	14.7	N/A
SR5408PSP	9185	2012	N	L	289	47	16.2	19.7	68.3872
CHA1995012PSP	3248	1995	N	L	169	12	12.1	8.3	22.1806
1253101PIP	9	2017	N	L	60	1092	8.8	8.7	N/A
FCTEM2004002PGP	6075	2009	N	L	753	25	23.4	20.3	140.2929
SR0213PSP	8973	1994	N	L	63	33	31.8	25	332.1491
SR1015PSP	8992	2009	N	L	95	88	31.9	21.4	N/A
SR0206PSP	8966	1998	N	L	46	68	26.5	21.5	N/A
CE3023PSP	8782	1993	N	L	74	41	24.6	19.05	178.1045
SR0404PSP	8981	1993	N	L	10	78	29.1	23.5	N/A
ARGS075PGP	11866	1977	N	L	18	56	10.7	11.28	N/A
ACH_NPGP	12072	1958	N	L	118	75	19.3	15.2	N/A
SR5021PSP	9159	1999	N	L	84	45	3.9	7.45	2.3018
FCWEY4S2001062PGP	6333	2001	N	L	963	74	5.1	5.96	3.4119
FECGY724PGP	12826	2001	N	L	4	58	31.9	21	310.0816
SR5401PSP	9178	1993	N	L	27	46	13.1	16.5	49.0134
SR1024PSP	9001	2010	N	L	4	46	4.5	6.4	4.8410
TIM2011005PGP	7706	2011	N	L	10	38	25.6	19.3	198.2969
SR1210PSP	9011	1994	N	L	3	136	4.0	5.36	N/A
SR0206PSP	8966	1993	N	L	21	78	16.5	17.5	N/A
FCBOW56-036-0PGP	4894	2018	N	L	995	70	35.7	19	416.6009
SR5417PSP	9194	1995	N	L	12	42	51.2	20.9	N/A
SR5404PSP	9181	1993	N	L	76	177	22.7	24	N/A
SR5023PSP	9160	1996	N	L	35	5	5.6	4.87	N/A
SR0401PSP	8978	1997	N	L	45	40	27.5	26.9	174.0355
ACH_APGP	12059	1952	N	L	115	2	4.8	6.4	2.6178
HEA1994001PSP	3346	2013	N	L	73	22	13.2	7.54	19.6970
SR1021PSP	8998	2006	N	L	6	94	3.3	5.6	N/A
GGM1994025PSP	3322	2013	N	L	81	3	35.6	24.72	431.6155
SR0208PSP	8968	1993	N	L	30	68	3.2	2.12	N/A
CE0016PSP	8662	1994	N	L	29	37	8.0	9.02	17.1349
SR5007PSP	9150	1999	N	L	71	50	13.9	16	35.7817
SR0208PSP	8968	1993	N	L	61	32	10.5	14.5	25.1491
CE0071PSP	8704	2000	N	L	2	12	38.4	26.5	435.2193
SR0215PSP	8975	1994	N	L	9	44	38.8	25.5	663.3810
SR0208PSP	8968	1998	N	L	18	88	45.4	27.3	N/A
SR0401PSP	8978	1992	N	L	38	75	21.2	23.5	N/A
ACH_IPGP	12067	1958	N	L	67	75	21.3	25	N/A
1239491PIP	10556	2017	N	L	71	1005	11.5	10.2	N/A
SR5416PSP	9193	2010	N	L	26	47	28.6	24.3	236.3360
FCTEM2003057PGP	6028	2014	N	L	341	38	31.2	22.4	325.3314
SR1022PSP	8999	2005	N	L	15	88	29.6	20.3	N/A
SR5417PSP	9194	1995	N	L	52	170	9.4	14	N/A
SR0205PSP	8965	1993	N	L	120	60	3.5	5.23	N/A
SR0206PSP	8966	1993	N	L	3	78	30.5	22.5	N/A
ACH_FPGP	12064	1995	N	L	6	1	45.1	29.08	N/A
NOR2013002PSP	11781	2013	N	L	46	14	17.1	16.3	64.2915
FCWEY4S2004018PGP	6546	2004	N	L	147	74	15.9	18.12	56.9132
SR1205PSP	9006	2013	N	L	12	44	35.6	27.5	544.2988
SR1203PSP	9004	2000	N	L	15	124	23.3	25.5	N/A
ACH_NPGP	12072	1968	N	L	74	75	24.4	22.7	N/A
SR5416PSP	9193	2010	N	L	8	47	46.0	24.2	666.5227
PIK2001004PSP	7379	2001	N	L	43	3	9.9	12.25	19.9004
SR4413PSP	9134	1999	N	L	17	123	18.2	19.7	N/A
SR5014PSP	9156	1994	N	L	19	33	41.7	21.8	586.8429
SR5023PSP	9160	1996	N	L	73	5	4.1	5.01	N/A
SR1023PSP	9000	2010	N	L	31	40	33.3	24.7	272.0061
SR1219PSP	9017	2006	N	L	113	46	26.7	25	229.2361
SG1999003PSP	3140	2000	N	L	618	74	23.2	22.87	144.9900
